City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
241,Kununurra,AU,-15.7667,128.7333,66.2,72,98,4.61,overcast clouds
242,Cabo San Lucas,MX,22.8909,-109.9124,82.0,41,1,8.05,clear sky
243,Ambon,ID,-3.6954,128.1814,77.0,94,40,8.05,scattered clouds
244,Constitucion,CL,-35.3333,-72.4167,63.45,65,100,7.09,overcast clouds
245,Olafsvik,IS,64.8945,-23.7142,35.87,65,90,25.01,overcast clouds
246,Vilyuysk,RU,63.7553,121.6247,2.39,98,99,2.95,overcast clouds
247,Paamiut,GL,61.994,-49.6678,27.88,55,100,5.79,overcast clouds
248,Tornio,FI,65.8481,24.1466,32.0,80,0,2.3,clear sky
249,Salalah,OM,17.0151,54.0924,82.4,78,0,1.14,clear sky
250,Sharan,RU,54.8167,54.0,39.6,59,99,17.02,overcast clouds
251,Makat,KZ,47.6469,53.3463,59.76,62,100,8.14,overcast clouds
252,Norman Wells,CA,65.282,-126.8329,42.8,52,1,2.3,clear sky
253,Porto Novo,BJ,6.4965,2.6036,75.2,88,40,6.91,scattered clouds
254,Prachuap Khiri Khan,TH,12.2167,99.75,84.0,70,29,2.95,scattered clouds
255,Camopi,GF,3.1655,-52.3158,78.22,90,82,2.98,broken clouds
256,Kropotkin,RU,45.4375,40.5756,50.0,96,99,4.05,overcast clouds
257,Whitehorse,CA,60.7161,-135.0538,48.2,37,1,12.66,clear sky
258,Siloam Springs,US,36.1881,-94.5405,57.99,54,75,14.97,broken clouds
259,Aberdeen,GB,57.1437,-2.0981,46.99,71,90,12.66,overcast clouds
260,Ajaccio,FR,42.0,8.9167,50.0,76,90,8.05,overcast clouds
261,Cherskiy,RU,68.75,161.3,22.33,89,100,11.27,overcast clouds
262,Puerto Leguizamo,CO,-0.1934,-74.7819,85.44,68,85,2.19,overcast clouds
263,Sibolga,ID,1.7427,98.7792,75.45,89,100,2.01,overcast clouds
264,Tibirita,CO,5.0533,-73.5037,64.49,84,95,4.74,overcast clouds
265,Joao Pinheiro,BR,-17.7425,-46.1725,74.25,61,37,5.35,scattered clouds
266,Rocha,UY,-34.4833,-54.3333,69.37,75,1,9.35,clear sky
267,Lamu,KE,-2.2717,40.902,80.6,83,40,14.97,scattered clouds
268,Salta,AR,-24.7859,-65.4117,73.4,64,40,17.27,scattered clouds
269,Kudahuvadhoo,MV,2.6708,72.8944,83.1,62,98,7.76,overcast clouds
270,Changtu,CN,42.7788,124.0955,51.55,35,94,14.74,overcast clouds
271,Sao Joao Da Barra,BR,-21.6403,-41.0511,84.2,58,20,9.22,few clouds
272,Bowen,AU,-20.0167,148.2333,71.6,88,75,10.36,broken clouds
273,Rawson,AR,-43.3002,-65.1023,73.71,45,100,18.77,overcast clouds
274,San Quintin,MX,30.4833,-115.95,67.32,62,1,12.12,clear sky
275,Iqaluit,CA,63.7506,-68.5145,19.4,68,75,3.11,broken clouds
276,Ekibastuz,KZ,51.6667,75.3667,33.26,61,100,23.13,overcast clouds
277,General Pico,AR,-35.6566,-63.7568,79.66,57,41,11.16,scattered clouds
278,Sao Fidelis,BR,-21.6461,-41.7469,84.2,58,20,9.22,few clouds
279,Fuzhou,CN,26.0614,119.3061,60.8,67,0,11.18,clear sky
280,Teeli,RU,51.0333,90.2333,39.29,33,2,5.61,clear sky
281,Nouakchott,MR,18.0858,-15.9785,75.2,57,0,19.57,clear sky
282,Herat,AF,34.5,62.0,58.23,34,67,7.25,broken clouds
283,Carutapera,BR,-1.195,-46.02,77.63,92,100,5.08,overcast clouds
284,Leningradskiy,RU,69.3833,178.4167,21.78,80,2,7.81,clear sky
285,Hermanus,ZA,-34.4187,19.2345,63.0,85,57,6.33,broken clouds
286,Calama,CL,-22.4667,-68.9333,73.4,12,0,20.71,clear sky
287,Margate,GB,51.3813,1.3862,46.99,81,86,4.94,overcast clouds
288,Porbandar,IN,21.6422,69.6093,80.83,72,1,10.65,clear sky
289,Saint Anthony,US,45.0205,-93.218,63.0,29,75,13.8,broken clouds
290,Meulaboh,ID,4.1363,96.1285,76.44,86,98,2.73,overcast clouds
