City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
499,Morada Nova,BR,78.42,overcast clouds,-5.1067,-38.3725,PIZZARIA MARIANA
509,Batticaloa,LK,81.07,overcast clouds,7.7102,81.6924,Grand Star Guest House
510,Tessalit,ML,88.68,clear sky,20.1986,1.0114,
517,Barentu,ER,80.56,overcast clouds,15.1139,37.5928,
519,Bonney Lake,US,77.0,clear sky,47.1771,-122.1865,Sumner Motor Inn
521,Pimentel,PE,77.0,clear sky,-6.8367,-79.9342,Casona Del Muelle
524,Adrar,MR,81.95,clear sky,20.5022,-10.0711,
528,Kloulklubed,PW,82.44,broken clouds,7.0419,134.2556,Storyboard Beach Resort
532,Ratnagiri,IN,80.94,clear sky,16.9833,73.3,Hotel Landmark
533,Real,PH,82.0,overcast clouds,14.6625,121.6047,Aranda beach resort
535,Ende,ID,76.37,overcast clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
538,Presidente Dutra,BR,77.27,light rain,-5.29,-44.49,Pousada Planalto
540,Muisne,EC,84.2,broken clouds,0.6,-80.0333,Quinta Samay
542,Balikpapan,ID,75.34,overcast clouds,-1.2675,116.8289,ibis Balikpapan
549,Rio Verde De Mato Grosso,BR,88.23,broken clouds,-18.9181,-54.8442,Hotel Valência
550,Cabatuan,PH,77.5,overcast clouds,10.8794,122.486,ROREM'S BOARDING HOUSE
556,Morondava,MG,77.54,overcast clouds,-20.2833,44.2833,La Case Bambou
557,Det Udom,TH,84.0,overcast clouds,14.905999999999999,105.0784,Chatsuda Resort
559,Turbat,PK,82.33,broken clouds,26.0023,63.044,Mubashar Quarters
569,Saint-Pierre,RE,75.2,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
570,Aswan,EG,88.34,clear sky,24.0934,32.907,Nuba Nile
577,Salinopolis,BR,77.31,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
578,Lazaro Cardenas,MX,82.72,clear sky,17.9583,-102.2,Hotel Quinta Antigua
583,Teknaf,BD,75.18,clear sky,20.8624,92.3058,Forestry Guesthouse
584,Cam Ranh,VN,78.8,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
586,Catuday,PH,78.89,overcast clouds,16.2923,119.8062,GResort
587,Mitsamiouli,KM,80.56,light rain,-11.3847,43.2844,Foyer ADM
590,Sorada,IN,80.53,clear sky,19.75,84.4333,PWD Guest House
594,Kapoeta,SS,83.39,scattered clouds,4.7717,33.5903,Eastgate Hotel
595,Jackson,US,78.01,clear sky,42.4165,-122.8345,Agate Village Apartments
599,Pacific Grove,US,78.01,clear sky,36.6177,-121.9166,Lovers Point Inn
601,Santa Helena De Goias,BR,83.44,broken clouds,-17.8136,-50.5969,Hotel Pacheco
602,Sakakah,SA,78.8,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
606,Aguada De Pasajeros,CU,89.6,few clouds,22.385,-80.8508,Soles de Marti
618,Buin,CL,75.2,haze,-33.7333,-70.75,Paihuen
619,Boende,CD,76.14,light rain,-0.2167,20.8667,
620,Chishtian Mandi,PK,78.31,scattered clouds,29.8,72.8667,Boys Hostel
621,Thinadhoo,MV,82.49,overcast clouds,0.5333,72.9333,
625,Pathein,MM,77.88,clear sky,16.7833,94.7333,New Pammawaddy Hotel
626,Bonthe,SL,81.88,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
632,Finschhafen,PG,79.84,overcast clouds,-6.6024,147.8681,Cossam Guest House
635,Celestun,MX,85.15,few clouds,20.8667,-90.4,Posada Lilia
640,Tandalti,SD,87.82,scattered clouds,13.0167,31.8667,منزل : الهادي محمد مساعد
641,Rio Brilhante,BR,89.24,clear sky,-21.8019,-54.5464,Hotel Cattani
651,Grand-Lahou,CI,81.34,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
652,Cavalcante,BR,77.61,broken clouds,-13.7975,-47.4583,Pousada Vila dos Ipês
656,West Bay,KY,86.0,few clouds,19.3667,-81.4167,Calypso Cove
657,Prado,BR,78.17,broken clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
661,Mendota,US,80.01,clear sky,36.7536,-120.3816,MAA
666,Garowe,SO,76.51,clear sky,8.4054,48.4845,Curubo Hotel
669,Brebes,ID,77.38,broken clouds,-6.8706,109.0369,HOTEL GRAND DIAN BREBES
670,Tamandare,BR,77.59,overcast clouds,-8.7597,-35.1047,Pousada 100 Passos
672,Hambantota,LK,79.61,few clouds,6.1241,81.1185,Bungalow 63
675,Port Blair,IN,80.87,scattered clouds,11.6667,92.75,Welcomhotel Bay Island Port Blair
678,Nicoya,CR,86.0,broken clouds,10.1483,-85.45200000000001,Guayacan Real
688,Zagora,MA,79.21,scattered clouds,30.3484,-5.8365,Prends Ton Temps
689,Sinnamary,GF,80.67,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
692,Marrakesh,MA,78.8,clear sky,31.6315,-8.0083,Novotel Marrakech Hivernage
693,Novo Aripuana,BR,81.48,moderate rain,-5.1206,-60.3797,Hotel Ezequiel
700,Walvis Bay,,86.0,broken clouds,-22.9575,14.5053,Oyster Box Guesthouse
701,Gorontalo,ID,75.79,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
702,Sechura,PE,79.84,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
704,Esmeraldas,BR,82.4,clear sky,-19.7625,-44.3139,Forasteiro Pousada - Hotel
710,Sabang,ID,83.05,broken clouds,5.8933,95.3214,Hotel Citra
713,Anloga,GH,75.2,broken clouds,5.7947,0.8973,Pin Drop Hotel
715,Isla Mujeres,MX,89.6,broken clouds,21.2311,-86.73100000000001,Hotel La Joya Isla Mujeres
719,Majene,ID,76.62,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
721,Maiduguri,NG,88.11,broken clouds,11.8464,13.1603,Beach Guest Home
727,Karaton,ID,82.0,haze,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
730,Russell,US,75.2,few clouds,32.3502,-85.1999,Macs
731,Durango,MX,77.34,clear sky,24.8333,-104.8333,
732,Andros Town,BS,84.2,scattered clouds,24.7,-77.7667,Hanks place
734,Kharan,PK,79.61,overcast clouds,28.5833,65.4167,Dil Aram Bangla
736,Noumea,NC,75.99,clear sky,-22.2763,166.4572,Hôtel Le Lagon
